Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RegistrationPrio,Chrome 126.0.0.0,,,21-06-2024 10:48:44,21-06-2024 10:50:25,1m - 40.621s,PASSED
,,,,,,,
Test Cases/Registration-USIM,Chrome 126.0.0.0,,,21-06-2024 10:48:45,21-06-2024 10:49:33,47.788s,PASSED
openBrowser(URL_Prioritas),Chrome 126.0.0.0,,,21-06-2024 10:48:46,21-06-2024 10:49:13,27.246s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,21-06-2024 10:49:13,21-06-2024 10:49:13,0.125s,PASSED
"OtherKeyword.selectObjectBasedOnIndex(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""btn-secondary""]), ""1"")",Chrome 126.0.0.0,,,21-06-2024 10:49:13,21-06-2024 10:49:16,2.199s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""price""]))",Chrome 126.0.0.0,,,21-06-2024 10:49:16,21-06-2024 10:49:18,2.483s,PASSED
"click(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""btn-primary""]))",Chrome 126.0.0.0,,,21-06-2024 10:49:18,21-06-2024 10:49:19,0.674s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""w-100""]))",Chrome 126.0.0.0,,,21-06-2024 10:49:19,21-06-2024 10:49:20,1.553s,PASSED
"SupportMethod.selectRandomlyListobject(findTestObject(""btn contains"", [""attr"":""@class"", ""val"":""select-square""]))",Chrome 126.0.0.0,,,21-06-2024 10:49:20,21-06-2024 10:49:21,1.154s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""nama_lengkap""]), custName)",Chrome 126.0.0.0,,,21-06-2024 10:49:21,21-06-2024 10:49:22,0.997s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""nomor_hp""]), contactNumber)",Chrome 126.0.0.0,,,21-06-2024 10:49:22,21-06-2024 10:49:23,0.951s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""email""]), email)",Chrome 126.0.0.0,,,21-06-2024 10:49:23,21-06-2024 10:49:24,0.816s,PASSED
"setText(findTestObject(""input"", [""attr"":""@name"", ""val"":""re_email""]), email)",Chrome 126.0.0.0,,,21-06-2024 10:49:24,21-06-2024 10:49:25,0.891s,PASSED
"OtherKeyword.selectObjectBasedOnIndex(findTestObject(""div contains"", [""attr"":""@class"", ""val"":""cursor-pointer""]), ""1"")",Chrome 126.0.0.0,,,21-06-2024 10:49:25,21-06-2024 10:49:25,0.457s,PASSED
